Date,Country,State,Disease,Symptoms,Cases,Severity_Score,Risk_Level,Hospital_Visits
2026-01-19,India,Punjab,Typhoid,"weakness, fever, loss of appetite, abdominal pain",282,11,Moderate,89
2025-08-12,USA,Texas,Respiratory Infection,"fever, sore throat",249,20,High,136
2025-11-06,USA,California,Malaria,"fever, chills",407,15,High,45
2025-06-08,India,Punjab,Typhoid,"loss of appetite, weakness, fever, abdominal pain",356,14,Moderate,252
2026-02-07,USA,New York,Migraine,"nausea, sensitivity to light, headache, vomiting",159,17,High,118
2025-07-22,India,Tamil Nadu,Diabetes,"fatigue, increased thirst",88,20,High,86
2025-12-17,Canada,Ontario,Skin Infection,"itching, skin rash, redness, swelling",277,8,Moderate,123
2026-02-22,India,Karnataka,Asthma,"chest tightness, breathing difficulty",249,18,High,23
2025-09-25,Germany,Bavaria,Typhoid,"abdominal pain, fever, loss of appetite, weakness",289,12,Moderate,27
2025-05-30,Canada,Quebec,Dengue,"joint pain, high fever, headache, skin rash",26,15,High,8
2025-12-20,USA,Ohio,Asthma,"chest tightness, breathing difficulty, wheezing",320,20,High,19
2025-07-13,Germany,Bavaria,Typhoid,"fever, loss of appetite, abdominal pain, weakness",176,12,Moderate,153
2026-04-06,USA,Ohio,Flu,"runny nose, cough, body pain, fever",204,13,Moderate,145
2025-08-09,USA,New York,Migraine,"headache, vomiting, sensitivity to light",475,5,Low,122
2026-05-19,Germany,Berlin,COVID-19,"fever, breathing difficulty, cough, loss of smell",57,15,High,24
2026-03-17,Canada,Ontario,Malaria,"fatigue, chills, sweating",239,3,Low,145
2025-12-16,Germany,Berlin,Dengue,"skin rash, headache, high fever, joint pain",31,18,High,7
2025-08-23,Canada,Alberta,Migraine,"nausea, headache, sensitivity to light",245,4,Low,184
2026-02-07,Canada,Quebec,Malaria,"fever, chills",103,3,Low,41
2026-04-25,USA,New York,Asthma,"chest tightness, cough",32,14,Moderate,27
2025-07-13,Canada,Quebec,Dengue,"high fever, skin rash, joint pain, headache",436,7,Low,374
2025-09-28,India,Karnataka,Asthma,"breathing difficulty, chest tightness, cough",94,18,High,33
2026-03-29,USA,California,Skin Infection,"swelling, itching, skin rash, redness",112,12,Moderate,95
2025-10-23,India,Tamil Nadu,Diabetes,"weight loss, increased thirst, frequent urination, fatigue",398,5,Low,284
2026-03-23,USA,New York,Migraine,"nausea, headache",290,7,Low,8
2025-09-23,Canada,Ontario,Skin Infection,"redness, swelling, skin rash, itching",268,8,Moderate,143
2025-07-15,Canada,Alberta,Diabetes,"increased thirst, fatigue, weight loss, frequent urination",403,19,High,253
2025-10-14,Germany,Berlin,Flu,"fever, runny nose, cough",167,19,High,107
2025-05-28,Canada,Ontario,Malaria,"fever, chills, sweating, fatigue",35,16,High,1
2026-01-03,India,Gujarat,Malaria,"chills, sweating, fever",101,12,Moderate,59
2026-03-13,Germany,Bavaria,Respiratory Infection,"cough, breathing issue, sore throat",434,3,Low,203
2026-04-28,Canada,Ontario,Flu,"cough, fever, body pain",231,5,Low,208
2025-10-30,USA,Texas,Typhoid,"fever, loss of appetite, abdominal pain",371,9,Moderate,182
2026-03-06,India,Delhi,Asthma,"chest tightness, cough, breathing difficulty, wheezing",231,4,Low,8
2025-06-27,USA,Ohio,Respiratory Infection,"breathing issue, cough, sore throat, fever",145,9,Moderate,102
2026-01-18,India,Tamil Nadu,Skin Infection,"itching, skin rash, swelling",54,17,High,45
2025-07-07,India,Tamil Nadu,Typhoid,"fever, loss of appetite, weakness",436,17,High,400
2025-12-19,USA,Florida,Flu,"cough, fever, body pain",400,12,Moderate,19
2025-10-16,Canada,Quebec,Skin Infection,"itching, redness, swelling, skin rash",373,3,Low,85
2026-02-01,USA,Ohio,Flu,"cough, runny nose, body pain, fever",361,11,Moderate,87
2026-02-25,USA,California,COVID-19,"breathing difficulty, cough",482,12,Moderate,479
2026-02-23,Germany,Bavaria,Skin Infection,"skin rash, redness, itching, swelling",369,6,Low,263
2025-10-07,Canada,Ontario,Asthma,"cough, breathing difficulty",81,14,Moderate,40
2025-09-29,Canada,Quebec,Diabetes,"increased thirst, weight loss, fatigue, frequent urination",496,4,Low,56
2025-06-20,Canada,Ontario,Asthma,"wheezing, cough",138,3,Low,38
2025-11-05,Canada,Alberta,Typhoid,"fever, abdominal pain, weakness, loss of appetite",451,16,High,275
2026-05-17,USA,California,Diabetes,"weight loss, increased thirst",218,15,High,22
2025-06-30,Germany,Berlin,Malaria,"fatigue, chills, sweating",449,15,High,447
2026-02-15,Germany,Hesse,Migraine,"headache, vomiting, nausea",322,6,Low,165
2025-09-03,India,Uttar Pradesh,Dengue,"joint pain, skin rash",192,7,Low,137
2025-07-16,Canada,Alberta,Typhoid,"fever, loss of appetite",332,11,Moderate,208
2025-09-13,USA,California,Asthma,"chest tightness, cough, wheezing, breathing difficulty",156,15,High,125
2025-07-04,India,Gujarat,Skin Infection,"redness, skin rash, itching",287,9,Moderate,63
2025-12-31,Germany,Bavaria,Dengue,"skin rash, headache",223,12,Moderate,209
2026-01-13,Germany,Hamburg,Asthma,"chest tightness, cough, wheezing, breathing difficulty",437,10,Moderate,372
2026-01-18,USA,California,Malaria,"fever, sweating, chills",489,18,High,35
2025-11-16,India,Delhi,COVID-19,"breathing difficulty, cough, loss of smell",449,18,High,163
2026-04-01,India,Maharashtra,Typhoid,"abdominal pain, weakness",354,17,High,16
2026-02-14,Germany,Berlin,COVID-19,"cough, loss of smell, fever",273,13,Moderate,224
2026-03-03,Germany,Hesse,Dengue,"headache, high fever",374,4,Low,374
2026-03-08,India,Tamil Nadu,Migraine,"vomiting, headache",264,19,High,10
2025-08-06,India,Tamil Nadu,Dengue,"skin rash, joint pain",250,12,Moderate,166
2025-09-25,Germany,Hamburg,Asthma,"cough, wheezing",390,13,Moderate,285
2025-11-13,Canada,Ontario,Asthma,"cough, chest tightness, breathing difficulty",433,11,Moderate,127
2025-11-13,Germany,Berlin,COVID-19,"cough, breathing difficulty, loss of smell, fever",360,20,High,310
2025-08-23,India,Punjab,Diabetes,"fatigue, increased thirst, frequent urination, weight loss",66,5,Low,15
2026-05-20,India,Maharashtra,Diabetes,"fatigue, increased thirst, frequent urination, weight loss",157,16,High,53
2026-02-18,Germany,Hamburg,Flu,"runny nose, cough, fever, body pain",428,3,Low,405
2026-05-16,India,Rajasthan,COVID-19,"breathing difficulty, fever, loss of smell, cough",450,15,High,344
2025-09-08,India,Rajasthan,Dengue,"high fever, joint pain, headache",385,10,Moderate,200
2026-05-21,Canada,Ontario,COVID-19,"breathing difficulty, cough, loss of smell",231,11,Moderate,140
2025-12-10,USA,Florida,Typhoid,"weakness, abdominal pain, loss of appetite, fever",45,7,Low,33
2025-09-28,Canada,Quebec,Migraine,"headache, sensitivity to light",247,16,High,162
2026-05-12,USA,New York,Malaria,"chills, sweating, fatigue",316,6,Low,243
2026-01-20,USA,Ohio,Malaria,"chills, sweating, fatigue",83,15,High,60
2025-12-28,USA,California,Migraine,"headache, vomiting",463,20,High,192
2025-07-12,Germany,Bavaria,Dengue,"headache, skin rash, high fever, joint pain",153,18,High,90
2025-11-28,USA,Ohio,Migraine,"headache, sensitivity to light, vomiting, nausea",302,20,High,193
2026-03-01,Germany,Bavaria,Skin Infection,"swelling, redness, skin rash",166,14,Moderate,142
2025-08-30,Germany,Hamburg,Migraine,"vomiting, sensitivity to light",459,10,Moderate,318
2026-01-31,USA,Ohio,Malaria,"fever, fatigue, sweating, chills",192,17,High,187
2025-06-30,India,Tamil Nadu,Skin Infection,"itching, swelling, redness, skin rash",379,12,Moderate,83
2026-04-02,Canada,Ontario,COVID-19,"fever, loss of smell, breathing difficulty",474,16,High,252
2025-12-30,USA,California,Flu,"cough, fever, runny nose",226,11,Moderate,32
2025-12-09,India,Tamil Nadu,Asthma,"wheezing, cough, breathing difficulty",385,16,High,151
2025-09-12,USA,Ohio,Dengue,"joint pain, high fever",314,3,Low,47
2026-02-10,Canada,Alberta,COVID-19,"breathing difficulty, loss of smell, fever, cough",54,5,Low,5
2026-04-29,India,Rajasthan,Skin Infection,"swelling, redness, itching, skin rash",343,9,Moderate,79
2025-11-13,USA,New York,Typhoid,"loss of appetite, fever, abdominal pain, weakness",136,3,Low,14
2026-03-19,USA,Florida,Diabetes,"frequent urination, increased thirst, weight loss",166,9,Moderate,131
2025-12-13,USA,Ohio,Flu,"body pain, cough, runny nose",399,14,Moderate,172
2025-09-01,India,Tamil Nadu,Diabetes,"frequent urination, weight loss, fatigue",33,11,Moderate,25
2026-01-05,India,Maharashtra,Dengue,"skin rash, joint pain, high fever, headache",78,15,High,47
2025-10-19,USA,Ohio,Dengue,"joint pain, headache, skin rash",325,12,Moderate,45
2026-04-08,Canada,Quebec,Skin Infection,"redness, skin rash",415,13,Moderate,266
2026-04-08,Germany,Bavaria,Flu,"fever, body pain, cough, runny nose",276,4,Low,7
2026-01-16,Germany,Bavaria,Dengue,"joint pain, headache",180,9,Moderate,40
2025-09-03,Germany,Berlin,Asthma,"wheezing, cough, breathing difficulty, chest tightness",211,8,Moderate,140
2025-11-23,USA,Florida,COVID-19,"breathing difficulty, fever, loss of smell",439,6,Low,330
2025-09-08,USA,Ohio,COVID-19,"loss of smell, cough, fever, breathing difficulty",53,13,Moderate,2
2026-03-26,USA,Ohio,Skin Infection,"redness, skin rash",70,12,Moderate,12
2025-12-14,USA,New York,Diabetes,"weight loss, increased thirst, frequent urination, fatigue",224,12,Moderate,67
2025-11-30,India,Punjab,Diabetes,"increased thirst, weight loss, frequent urination",191,4,Low,30
2025-07-04,USA,New York,Diabetes,"increased thirst, fatigue, weight loss",144,14,Moderate,53
2026-03-21,USA,California,Respiratory Infection,"fever, breathing issue, sore throat",210,6,Low,47
2025-06-02,India,Karnataka,Flu,"cough, runny nose, fever, body pain",158,9,Moderate,138
2025-07-10,Canada,Alberta,Malaria,"sweating, fever",258,3,Low,9
2026-04-29,Germany,Berlin,Flu,"fever, runny nose, cough, body pain",13,16,High,11
2025-07-19,India,Gujarat,Respiratory Infection,"fever, cough, sore throat, breathing issue",286,5,Low,97
2025-09-14,Canada,Alberta,COVID-19,"breathing difficulty, fever",181,10,Moderate,164
2025-07-01,Germany,Hesse,Migraine,"headache, nausea, vomiting",267,18,High,212
2026-03-27,Canada,Alberta,Typhoid,"weakness, fever, abdominal pain",313,20,High,307
2026-04-21,Germany,Hamburg,Diabetes,"weight loss, fatigue, frequent urination, increased thirst",492,12,Moderate,312
2025-09-30,Germany,Hesse,Skin Infection,"swelling, redness",92,3,Low,66
2025-06-01,USA,New York,Asthma,"chest tightness, breathing difficulty, cough",125,5,Low,21
2026-02-26,Germany,Hesse,Flu,"fever, body pain, runny nose",364,9,Moderate,18
2025-05-28,India,Delhi,Skin Infection,"itching, skin rash",188,10,Moderate,30
2025-11-02,Germany,Bavaria,Migraine,"nausea, vomiting, sensitivity to light",77,17,High,46
2026-04-29,USA,Florida,Dengue,"high fever, headache, joint pain, skin rash",144,13,Moderate,22
2026-04-12,India,Karnataka,Asthma,"cough, wheezing",439,17,High,57
2025-06-25,USA,New York,Flu,"runny nose, body pain, cough",157,3,Low,144
2025-11-18,Germany,Hesse,Dengue,"joint pain, skin rash, headache, high fever",309,3,Low,118
2026-01-05,USA,California,Malaria,"fatigue, chills",78,20,High,60
2026-03-18,Canada,Ontario,Malaria,"chills, sweating, fever, fatigue",486,3,Low,27
2025-07-08,Germany,Hesse,Asthma,"wheezing, chest tightness, breathing difficulty, cough",178,16,High,49
2025-10-19,India,Karnataka,Skin Infection,"swelling, redness, skin rash, itching",161,18,High,91
2026-04-20,USA,Ohio,Dengue,"high fever, joint pain, skin rash",402,3,Low,317
2026-01-28,Canada,Ontario,Asthma,"chest tightness, cough, wheezing, breathing difficulty",196,17,High,72
2026-03-15,Germany,Berlin,COVID-19,"fever, loss of smell",197,4,Low,76
2025-06-04,Germany,Bavaria,Respiratory Infection,"breathing issue, fever, cough, sore throat",13,7,Low,8
2025-06-13,Canada,Quebec,Malaria,"fatigue, sweating, fever, chills",470,14,Moderate,118
2026-03-01,Canada,Alberta,Typhoid,"weakness, fever, loss of appetite, abdominal pain",323,6,Low,21
2026-04-27,Germany,Berlin,Diabetes,"frequent urination, increased thirst, fatigue, weight loss",17,13,Moderate,6
2026-03-11,Canada,Ontario,Diabetes,"weight loss, increased thirst",433,15,High,383
2026-02-12,Canada,Ontario,Asthma,"chest tightness, cough, wheezing",217,3,Low,192
2025-11-13,USA,Ohio,Migraine,"vomiting, sensitivity to light, nausea",101,10,Moderate,36
2025-08-08,India,Uttar Pradesh,COVID-19,"cough, loss of smell, fever",231,12,Moderate,135
2026-03-09,Germany,Bavaria,Diabetes,"fatigue, frequent urination, increased thirst",141,5,Low,61
2025-12-02,Germany,Berlin,Malaria,"fatigue, sweating",469,7,Low,452
2025-08-02,India,Uttar Pradesh,Skin Infection,"itching, swelling",79,12,Moderate,66
2026-05-12,Canada,Alberta,Typhoid,"abdominal pain, fever, weakness, loss of appetite",494,17,High,30
2026-03-18,Canada,Alberta,COVID-19,"loss of smell, breathing difficulty, cough, fever",414,18,High,80
2025-06-21,India,Karnataka,Typhoid,"loss of appetite, fever, weakness, abdominal pain",404,18,High,337
2026-04-01,Canada,Ontario,Respiratory Infection,"breathing issue, sore throat, cough, fever",79,16,High,35
2025-08-08,Canada,Ontario,Migraine,"headache, vomiting, sensitivity to light",437,3,Low,85
2025-06-08,Canada,Alberta,Dengue,"skin rash, joint pain, high fever, headache",167,13,Moderate,7
2026-04-14,India,Tamil Nadu,Migraine,"vomiting, nausea, sensitivity to light",120,18,High,7
2025-11-08,Canada,Ontario,Flu,"fever, runny nose",299,20,High,76
2026-02-28,USA,Ohio,Flu,"cough, body pain, fever, runny nose",47,20,High,14
2025-11-05,India,Tamil Nadu,COVID-19,"fever, cough, loss of smell",73,12,Moderate,21
2026-03-31,Germany,Hesse,Dengue,"joint pain, skin rash, high fever, headache",226,16,High,209
2026-04-18,USA,Ohio,Malaria,"fever, chills, fatigue",471,17,High,235
2026-03-19,USA,Ohio,COVID-19,"breathing difficulty, loss of smell, cough",117,6,Low,6
2025-12-19,Canada,Alberta,Asthma,"chest tightness, wheezing",249,3,Low,107
2026-02-23,Canada,Alberta,Diabetes,"frequent urination, fatigue",344,20,High,198
2026-03-04,Germany,Berlin,Malaria,"fatigue, chills",181,12,Moderate,31
2025-05-29,India,Uttar Pradesh,Diabetes,"weight loss, fatigue, frequent urination, increased thirst",370,8,Moderate,288
2025-09-12,USA,New York,Diabetes,"increased thirst, fatigue",255,9,Moderate,4
2026-05-18,Germany,Hesse,Malaria,"fatigue, chills",361,19,High,194
2025-10-18,Germany,Berlin,Migraine,"nausea, headache, vomiting",56,9,Moderate,42
2025-05-24,Germany,Hamburg,Asthma,"breathing difficulty, cough, chest tightness, wheezing",328,11,Moderate,217
2025-12-18,USA,New York,Skin Infection,"itching, skin rash, redness, swelling",155,7,Low,5
2026-04-25,Germany,Berlin,Diabetes,"increased thirst, frequent urination, weight loss",215,7,Low,191
2025-12-04,India,Gujarat,Dengue,"joint pain, high fever, headache, skin rash",27,9,Moderate,13
2025-12-28,Germany,Berlin,Migraine,"vomiting, headache",247,17,High,158
2026-04-29,Germany,Hamburg,Skin Infection,"itching, skin rash, swelling",15,7,Low,9
2025-08-12,USA,New York,Respiratory Infection,"sore throat, fever, breathing issue, cough",95,16,High,46
2026-02-16,Germany,Hamburg,Diabetes,"fatigue, increased thirst, weight loss",218,19,High,156
2025-12-09,Canada,Quebec,Dengue,"high fever, joint pain, headache, skin rash",186,10,Moderate,100
2026-02-04,Germany,Bavaria,Skin Infection,"redness, skin rash",149,19,High,133
2025-12-12,Germany,Hamburg,Malaria,"fever, chills, fatigue",331,6,Low,317
2025-10-29,USA,California,Diabetes,"fatigue, weight loss",391,6,Low,24
2026-03-03,India,Delhi,Diabetes,"weight loss, fatigue",178,12,Moderate,43
2026-01-26,Canada,Alberta,Flu,"runny nose, cough, body pain, fever",187,5,Low,25
2025-11-05,Canada,Quebec,COVID-19,"breathing difficulty, fever, cough",299,16,High,108
2025-12-02,USA,Florida,Malaria,"fatigue, fever",472,5,Low,439
2025-12-03,Canada,Quebec,Flu,"fever, body pain, runny nose",153,12,Moderate,83
2026-04-25,Canada,Quebec,Skin Infection,"swelling, redness, itching",246,5,Low,24
2025-09-23,USA,California,Respiratory Infection,"fever, breathing issue, sore throat",410,20,High,279
2025-09-12,USA,California,Flu,"fever, body pain, cough",138,14,Moderate,73
2025-08-08,USA,California,Flu,"fever, cough, runny nose",69,3,Low,5
2025-05-23,Canada,Ontario,Malaria,"chills, sweating, fatigue, fever",105,20,High,36
2025-10-02,Canada,Alberta,Skin Infection,"itching, skin rash",165,3,Low,111
2026-05-07,Germany,Hamburg,Malaria,"fever, fatigue, chills",291,8,Moderate,100
2025-09-01,India,Rajasthan,Asthma,"breathing difficulty, cough",50,8,Moderate,44
2025-08-03,India,Gujarat,Flu,"body pain, runny nose, fever, cough",358,3,Low,148
2025-10-19,Germany,Hesse,Respiratory Infection,"sore throat, cough, fever",232,10,Moderate,209
2025-11-16,USA,Ohio,Malaria,"sweating, fever",202,9,Moderate,75
2025-07-27,USA,Ohio,Respiratory Infection,"fever, breathing issue, cough, sore throat",465,17,High,434
2025-07-19,USA,Texas,Typhoid,"loss of appetite, abdominal pain",328,16,High,117
2025-08-07,Canada,Ontario,Respiratory Infection,"breathing issue, sore throat",231,9,Moderate,119
2025-11-04,USA,New York,COVID-19,"loss of smell, cough",293,15,High,179
2025-07-25,Germany,Hesse,Malaria,"chills, sweating, fever",103,20,High,48
2025-06-23,USA,California,Respiratory Infection,"breathing issue, sore throat",270,13,Moderate,29
2026-02-17,USA,Ohio,Flu,"fever, cough, runny nose",106,16,High,54
2025-07-01,USA,New York,Migraine,"vomiting, headache, sensitivity to light, nausea",82,16,High,19
2026-04-20,India,Tamil Nadu,Malaria,"fever, fatigue, sweating, chills",213,18,High,46
2025-09-28,Germany,Hamburg,Diabetes,"fatigue, frequent urination, increased thirst, weight loss",63,4,Low,32
2025-10-12,USA,California,Migraine,"vomiting, headache",478,3,Low,436
2026-04-05,USA,Florida,COVID-19,"breathing difficulty, cough, loss of smell",333,7,Low,289
2026-01-25,India,Karnataka,Respiratory Infection,"breathing issue, fever, sore throat, cough",343,13,Moderate,125
2026-02-02,India,Karnataka,Diabetes,"fatigue, frequent urination, increased thirst",397,20,High,395
2025-09-28,Canada,Alberta,Dengue,"joint pain, high fever, skin rash",121,4,Low,77
2026-01-05,Germany,Bavaria,Skin Infection,"itching, skin rash, redness",119,15,High,66
2025-12-14,Canada,Alberta,Skin Infection,"skin rash, swelling",399,15,High,379
2025-07-26,USA,Texas,Dengue,"skin rash, high fever, headache, joint pain",368,11,Moderate,339
2025-06-06,India,Delhi,Typhoid,"weakness, abdominal pain, fever",142,7,Low,77
2026-01-24,India,Tamil Nadu,Malaria,"chills, fever, sweating, fatigue",26,11,Moderate,3
2025-07-12,India,Maharashtra,Dengue,"high fever, joint pain",158,4,Low,46
2025-11-13,Canada,Quebec,Typhoid,"fever, loss of appetite, abdominal pain",173,10,Moderate,89
2025-07-14,USA,Florida,Malaria,"chills, fatigue",282,8,Moderate,60
2025-10-25,India,Karnataka,Migraine,"nausea, vomiting",429,6,Low,347
2026-03-28,India,Karnataka,COVID-19,"breathing difficulty, loss of smell, fever",158,12,Moderate,148
2025-10-11,India,Gujarat,Respiratory Infection,"fever, breathing issue, sore throat, cough",395,17,High,263
2026-02-05,Canada,Ontario,Flu,"cough, body pain, fever, runny nose",429,19,High,178
2025-07-27,USA,Texas,Typhoid,"weakness, abdominal pain",27,11,Moderate,14
2025-07-25,India,Gujarat,Migraine,"headache, sensitivity to light",43,6,Low,6
2025-06-02,India,Rajasthan,Malaria,"fever, chills, fatigue",281,17,High,75
2025-10-12,Canada,Quebec,Asthma,"chest tightness, breathing difficulty",112,16,High,41
2026-01-09,Germany,Bavaria,Malaria,"chills, fatigue, sweating, fever",314,3,Low,186
2025-11-24,India,Uttar Pradesh,Dengue,"high fever, skin rash, joint pain",264,16,High,17
2026-05-11,Germany,Bavaria,Diabetes,"frequent urination, fatigue",466,7,Low,383
2025-11-24,Germany,Berlin,Flu,"body pain, cough, runny nose",248,9,Moderate,156
2025-12-15,USA,California,Asthma,"wheezing, breathing difficulty",301,15,High,90
2025-09-08,India,Gujarat,Migraine,"headache, sensitivity to light",29,15,High,21
2026-02-03,Canada,Ontario,Respiratory Infection,"breathing issue, sore throat",48,9,Moderate,24
2025-07-18,USA,New York,Asthma,"chest tightness, cough, breathing difficulty, wheezing",110,17,High,51
2025-09-23,Canada,Alberta,COVID-19,"loss of smell, fever, cough, breathing difficulty",212,4,Low,9
2026-03-30,India,Punjab,Dengue,"joint pain, skin rash, headache, high fever",212,10,Moderate,150
2025-06-16,USA,New York,COVID-19,"cough, breathing difficulty, fever",85,15,High,81
2026-04-28,USA,Ohio,Dengue,"headache, skin rash, high fever, joint pain",116,8,Moderate,43
2025-12-04,Canada,Alberta,Skin Infection,"redness, skin rash, itching",328,14,Moderate,139
2025-07-13,Canada,Quebec,Respiratory Infection,"breathing issue, fever, cough",15,17,High,3
2025-12-22,Germany,Hamburg,Asthma,"cough, breathing difficulty",306,20,High,264
2025-10-20,USA,Florida,COVID-19,"loss of smell, cough, fever, breathing difficulty",37,15,High,30
2025-12-27,Canada,Ontario,Respiratory Infection,"sore throat, cough, breathing issue",175,12,Moderate,39
2025-06-21,Canada,Alberta,Flu,"body pain, fever, cough",370,11,Moderate,103
2025-12-14,USA,Florida,Respiratory Infection,"sore throat, breathing issue, cough, fever",427,16,High,32
2025-06-07,Germany,Bavaria,Malaria,"fatigue, fever",298,7,Low,144
2025-11-02,Canada,Alberta,Malaria,"fatigue, sweating, fever",260,10,Moderate,128
2025-08-14,USA,Florida,Flu,"fever, runny nose, cough",147,19,High,11
2026-02-02,Canada,Alberta,Respiratory Infection,"fever, cough, sore throat",486,13,Moderate,356
2026-03-31,USA,California,Flu,"fever, body pain",183,18,High,171
2025-08-22,Canada,Alberta,Flu,"cough, fever, body pain, runny nose",53,15,High,36
2026-02-11,USA,Florida,Migraine,"sensitivity to light, nausea, vomiting",200,5,Low,19
2025-12-01,Germany,Berlin,Skin Infection,"skin rash, swelling",420,13,Moderate,67
2025-10-25,India,Uttar Pradesh,COVID-19,"cough, fever",365,5,Low,23
2025-06-16,Germany,Bavaria,Typhoid,"loss of appetite, abdominal pain, fever",50,14,Moderate,30
2026-03-29,Canada,Alberta,Malaria,"chills, fatigue",431,17,High,413
2025-05-24,Canada,Quebec,Skin Infection,"skin rash, redness, swelling, itching",125,7,Low,7
2025-10-27,Canada,Ontario,Dengue,"high fever, headache, skin rash",421,9,Moderate,391
2026-04-11,USA,New York,Migraine,"vomiting, headache, nausea",296,14,Moderate,243
2025-10-07,Germany,Bavaria,Flu,"cough, fever, runny nose, body pain",100,6,Low,60
2026-02-05,USA,Florida,Typhoid,"weakness, loss of appetite, fever",33,3,Low,4
2026-02-24,USA,Florida,Typhoid,"weakness, fever",483,14,Moderate,387
2025-08-26,USA,Texas,Flu,"fever, runny nose, cough, body pain",458,8,Moderate,410
2025-08-14,Germany,Hamburg,Dengue,"high fever, joint pain, headache, skin rash",43,20,High,6
2025-09-23,Germany,Hamburg,Respiratory Infection,"sore throat, fever, cough, breathing issue",392,4,Low,85
2026-03-23,Germany,Hesse,Dengue,"skin rash, headache, high fever",429,11,Moderate,144
2025-12-29,Germany,Hamburg,Migraine,"nausea, vomiting",490,7,Low,57
2026-05-13,India,Punjab,Flu,"body pain, runny nose, cough, fever",455,16,High,379
2025-12-20,Canada,Ontario,Dengue,"joint pain, headache, skin rash",223,14,Moderate,124
2025-08-05,India,Uttar Pradesh,Malaria,"fatigue, fever",150,18,High,44
2026-01-02,Germany,Hamburg,Respiratory Infection,"breathing issue, fever",50,20,High,1
2025-09-08,Germany,Bavaria,Dengue,"joint pain, high fever",34,7,Low,12
2026-01-15,India,Uttar Pradesh,Asthma,"wheezing, breathing difficulty, chest tightness",193,8,Moderate,58
2025-08-22,India,Delhi,Typhoid,"abdominal pain, weakness, loss of appetite",459,11,Moderate,411
2025-11-24,USA,Texas,Dengue,"high fever, joint pain, headache",229,8,Moderate,78
2025-07-19,Germany,Hamburg,Diabetes,"fatigue, increased thirst, weight loss",471,14,Moderate,78
2025-10-25,Germany,Berlin,Flu,"runny nose, cough, body pain, fever",364,5,Low,133
2026-04-17,Germany,Hamburg,Flu,"body pain, fever, runny nose, cough",64,16,High,62
2025-10-02,Germany,Hamburg,Respiratory Infection,"cough, sore throat, fever",110,18,High,89
2025-08-18,India,Karnataka,Typhoid,"fever, loss of appetite",127,17,High,94
2026-01-14,India,Rajasthan,Flu,"fever, runny nose, body pain, cough",65,3,Low,33
2026-02-06,India,Uttar Pradesh,Malaria,"chills, fever, sweating",425,16,High,154
2025-12-05,Germany,Bavaria,COVID-19,"breathing difficulty, cough, loss of smell",204,7,Low,17
2025-06-12,Germany,Hesse,Typhoid,"fever, weakness, abdominal pain, loss of appetite",486,10,Moderate,172
2025-08-20,India,Rajasthan,Migraine,"nausea, vomiting, headache",265,3,Low,146
2025-08-15,Germany,Hesse,Flu,"cough, runny nose, body pain",500,14,Moderate,131
2025-10-12,Germany,Bavaria,Malaria,"chills, fatigue, fever, sweating",38,9,Moderate,34
2025-08-19,Germany,Bavaria,Malaria,"sweating, chills, fever",333,4,Low,314
2026-05-22,India,Tamil Nadu,Respiratory Infection,"sore throat, fever, breathing issue",131,12,Moderate,124
2025-06-06,India,Rajasthan,Asthma,"chest tightness, breathing difficulty, cough",451,7,Low,37
2025-09-09,India,Punjab,Diabetes,"fatigue, weight loss, increased thirst, frequent urination",304,5,Low,27
2025-07-17,Germany,Hamburg,Dengue,"headache, skin rash, high fever",233,8,Moderate,29
2025-12-10,Germany,Hesse,Malaria,"chills, sweating",99,16,High,46
2026-01-10,India,Rajasthan,Dengue,"headache, high fever, joint pain",479,14,Moderate,133
2026-02-11,USA,Florida,COVID-19,"loss of smell, breathing difficulty, fever",154,8,Moderate,111
2025-05-30,India,Punjab,Migraine,"nausea, vomiting, headache",249,7,Low,190
2026-04-26,India,Rajasthan,Malaria,"chills, fatigue, fever",206,18,High,53
2026-02-26,Germany,Hamburg,Dengue,"high fever, skin rash",207,19,High,157
2025-06-24,Germany,Hesse,Diabetes,"frequent urination, increased thirst",53,11,Moderate,27
2026-01-05,Canada,Ontario,Asthma,"breathing difficulty, cough, wheezing, chest tightness",480,20,High,35
2026-04-16,India,Rajasthan,Migraine,"vomiting, nausea, sensitivity to light",260,15,High,93
2025-10-07,Germany,Berlin,Migraine,"nausea, vomiting, sensitivity to light, headache",87,3,Low,45
2025-11-06,Germany,Hesse,Flu,"body pain, cough, fever, runny nose",255,19,High,167
2026-02-22,Canada,Quebec,Asthma,"breathing difficulty, cough, chest tightness",301,14,Moderate,42
2026-02-17,USA,Ohio,Migraine,"vomiting, nausea, headache, sensitivity to light",449,10,Moderate,384
2025-07-27,Germany,Hamburg,Flu,"cough, runny nose, fever, body pain",171,4,Low,74
2025-12-28,Germany,Hesse,Migraine,"sensitivity to light, nausea, vomiting",206,6,Low,73
2025-12-05,USA,Florida,Flu,"runny nose, cough, fever, body pain",201,7,Low,127
2026-02-11,Germany,Hamburg,Typhoid,"loss of appetite, fever, weakness",155,20,High,56
2026-05-18,USA,Texas,COVID-19,"breathing difficulty, cough, fever",207,15,High,109
2025-06-29,Germany,Hesse,Skin Infection,"swelling, skin rash, itching, redness",448,16,High,104
2025-09-19,USA,California,Respiratory Infection,"fever, sore throat",69,17,High,43
2025-12-09,India,Tamil Nadu,Skin Infection,"redness, itching, swelling, skin rash",289,5,Low,227
